domain,Char_clean,Words_clean,Tokens
akkia.fi,71,13,13
akkuekspertti.fi,447,83,86
akphoto.fi,2184,345,610
akranumero.fi,883,127,137
akrontaika.fi,71,13,13
aksako.com,87,16,16
aksfinland.fi,562,85,91
aktagon.com,130,17,19
akutechsolutions.com,29,6,6
akvasoft.com,290,49,51
akvila.com,893,145,170
akvilander.com,58,11,11
ala.fi,274,43,52
alamarinjet.com,720,116,129
alanddistillery.com,788,129,160
alandia.com,801,125,129
alandiaengineering.com,558,67,72
alansa.com,52,9,9
alariclongward.com,639,119,130
alarmr.io,79,13,21
alasinmedia.fi,1282,197,304
alatau.fi,74,9,10
alavusmodules.fi,832,133,155
albadi.world,51,9,12
albatrossdaycare.fi,2624,424,489
albertingo.com,202,39,41
albiox.com,1947,289,307
albis.com,385,57,60
alclean.fi,71,13,13
alcon.fi,158,25,26
aldanex.fi,1588,229,270
alea-duo.com,71,13,13
aleksandralaw.fi,171,33,53
aleksitammi.com,1267,215,275
alekstra.com,548,96,99
alekstra.fi,548,96,99
alexa.fi,75,17,17
alfamoving.com,934,167,179
alfredleppanen.com,487,69,158
alifsemi.com,467,73,83
alignment-studios.com,87,16,16
alimetrics.com,334,53,61
aline-consulting.com,2212,350,377
alinesoft.com,2942,418,451
alinor.ai,114,17,19
aljatec.fi,1073,146,157
alkalyne.fi,383,67,78
alkawagroup.fi,3533,555,591
alkeis.com,170,26,29
allaboutlapland.fi,504,83,92
allaskauppa.fi,174,36,37
allatwork.fi,33,6,10
allinmanagement.fi,202,39,41
allocat.app,58,11,11
allshares.com,1071,173,183
alltimeagent.com,7072,1309,1337
almadalabel.com,13832,2123,2529
almareconsulting.com,1238,188,194
almasi.fi,66,12,14
almosthumangames.com,171,27,28
aloelife.fi,236,40,40
alomis.com,658,103,112
alpha-performance.com,37,5,5
alpha-sense.com,2590,371,407
alpha7.fi,40,7,11
alphaactivity.com,4610,773,797
alphabat.pro,7629,1216,1256
alphadesignpartners.com,128,19,19
