domain,path,chars,bytes,words,lines
otakon.fi,scraped/otakon.fi.txt,1160,1194,124,15
otapro.fi,scraped/otapro.fi.txt,1897,1945,193,35
otasahko.fi,scraped/otasahko.fi.txt,3364,3529,350,48
otatuote.fi,scraped/otatuote.fi.txt,54,56,4,2
otava.fi,scraped/otava.fi.txt,712,733,86,6
otavamedia.fi,scraped/otavamedia.fi.txt,4768,4917,557,53
otavanmaalaustyo.fi,scraped/otavanmaalaustyo.fi.txt,2605,2693,282,26
otavanmetalli.fi,scraped/otavanmetalli.fi.txt,264,273,30,2
otavoima.fi,scraped/otavoima.fi.txt,51,51,8,1
otaxi.fi,scraped/otaxi.fi.txt,51,51,8,1
otc.fi,scraped/otc.fi.txt,2373,2496,245,20
otcon.fi,scraped/otcon.fi.txt,17,17,1,1
otdent.fi,scraped/otdent.fi.txt,1151,1155,173,11
ote.fi,scraped/ote.fi.txt,10386,10742,1688,136
otekiipeilykeskus.fi,scraped/otekiipeilykeskus.fi.txt,51,51,8,1
oterno.fi,scraped/oterno.fi.txt,557,578,54,12
otesan.fi,scraped/otesan.fi.txt,2134,2204,233,22
otf.fi,scraped/otf.fi.txt,284,284,46,3
other.fi,scraped/other.fi.txt,1864,1874,274,37
otherpath.fi,scraped/otherpath.fi.txt,1869,1930,232,18
otherstreams.com,scraped/otherstreams.com.txt,1010,1016,163,5
otherwise.fi,scraped/otherwise.fi.txt,3249,3298,440,75
otkp.fi,scraped/otkp.fi.txt,732,777,82,2
otmgames.com,scraped/otmgames.com.txt,53,53,10,2
otoplug.fi,scraped/otoplug.fi.txt,2260,2408,224,12
otrum.com,scraped/otrum.com.txt,186,186,28,3
otsamogeselle.com,scraped/otsamogeselle.com.txt,167,167,28,1
otservice.fi,scraped/otservice.fi.txt,121,122,19,2
otsikko.fi,scraped/otsikko.fi.txt,135,135,13,2
otsofy.com,scraped/otsofy.com.txt,5899,5911,912,92
otsolkv.fi,scraped/otsolkv.fi.txt,1218,1268,145,12
otsomaria.fi,scraped/otsomaria.fi.txt,51,51,8,1
otsoson.com,scraped/otsoson.com.txt,340,360,33,2
otsowoods.fi,scraped/otsowoods.fi.txt,35,35,5,2
otstek.fi,scraped/otstek.fi.txt,217,228,21,2
ottakatto.fi,scraped/ottakatto.fi.txt,69,73,8,2
ottee.fi,scraped/ottee.fi.txt,4692,4781,581,46
ottimista.fi,scraped/ottimista.fi.txt,51,51,8,1
otto03.net,scraped/otto03.net.txt,57,57,10,1
ottola.fi,scraped/ottola.fi.txt,745,757,71,17
ottomotor.fi,scraped/ottomotor.fi.txt,545,561,61,4
ottopojanvuokraus.fi,scraped/ottopojanvuokraus.fi.txt,197,200,18,2
ottovirtanen.com,scraped/ottovirtanen.com.txt,797,798,125,22
ottovuokraus.com,scraped/ottovuokraus.com.txt,2637,2764,317,50
ottowatti.fi,scraped/ottowatti.fi.txt,1148,1206,122,4
ottvi.com,scraped/ottvi.com.txt,1881,1889,296,15
otustuotanto.fi,scraped/otustuotanto.fi.txt,425,440,40,5
otusworkshop.fi,scraped/otusworkshop.fi.txt,51,51,8,1
otx.fi,scraped/otx.fi.txt,13482,13484,1825,49
oubus.fi,scraped/oubus.fi.txt,2762,2869,283,23
oucabikes.com,scraped/oucabikes.com.txt,4948,5179,556,37
oud.fi,scraped/oud.fi.txt,1758,1824,197,30
ouda.fi,scraped/ouda.fi.txt,4195,4302,448,39
oudata.net,scraped/oudata.net.txt,123,126,12,1
oukota.fi,scraped/oukota.fi.txt,2244,2370,231,25
oukris.fi,scraped/oukris.fi.txt,51,51,8,1
oulangantaika.fi,scraped/oulangantaika.fi.txt,1564,1619,147,21
oulaskankaankahvila.fi,scraped/oulaskankaankahvila.fi.txt,51,51,8,1
ouluactionpark.fi,scraped/ouluactionpark.fi.txt,33,33,6,1
oulubikes.fi,scraped/oulubikes.fi.txt,132,136,22,11
ouluek.fi,scraped/ouluek.fi.txt,2325,2443,252,34
oulufungi.fi,scraped/oulufungi.fi.txt,504,511,62,10
oulugolf.fi,scraped/oulugolf.fi.txt,2112,2184,263,39
ouluhinaus.fi,scraped/ouluhinaus.fi.txt,51,51,8,1
ouluhostel.fi,scraped/ouluhostel.fi.txt,2208,2305,277,37
ouluinnovation.com,scraped/ouluinnovation.com.txt,391,409,42,2
oulujarviristeilyt.fi,scraped/oulujarviristeilyt.fi.txt,11605,12022,1181,108
oulun-datapiste.fi,scraped/oulun-datapiste.fi.txt,51,51,8,1
oulun-puunkaato.fi,scraped/oulun-puunkaato.fi.txt,51,51,8,1
oulunase.fi,scraped/oulunase.fi.txt,12468,12832,1385,97
oulunautot.com,scraped/oulunautot.com.txt,105,105,15,2
oulunbetoniporaus.fi,scraped/oulunbetoniporaus.fi.txt,6759,7069,752,43
ouluncaravanhuolto.fi,scraped/ouluncaravanhuolto.fi.txt,51,51,8,1
oulunekolampo.fi,scraped/oulunekolampo.fi.txt,4463,4688,484,43
oulunenergia.fi,scraped/oulunenergia.fi.txt,1176,1222,126,10
oulunhammas.fi,scraped/oulunhammas.fi.txt,3249,3368,345,46
oulunhammaspaja.fi,scraped/oulunhammaspaja.fi.txt,1032,1063,98,13
oulunhautakivi.fi,scraped/oulunhautakivi.fi.txt,698,714,74,8
oulunhierontakeskus.fi,scraped/oulunhierontakeskus.fi.txt,699,710,77,6
oulunihonhoitokeskus.fi,scraped/oulunihonhoitokeskus.fi.txt,2197,2266,222,7
oulunikkunahuolto.fi,scraped/oulunikkunahuolto.fi.txt,787,820,92,12
