domain,lang,chars,english,source_path,english_path
easi.fi,fi,88,False,scraped/easi.fi.txt,
easissonenky.com,fi,115,False,scraped/easissonenky.com.txt,
easoft.fi,fi,4981,False,scraped/easoft.fi.txt,
easoftdocs.fi,fi,3427,False,scraped/easoftdocs.fi.txt,
easor.com,fi,1491,False,scraped/easor.com.txt,
eastbound.fi,blocked,51,False,scraped/eastbound.fi.txt,
eastcab.fi,fi,792,False,scraped/eastcab.fi.txt,
eastcoastevents.fi,blocked,51,False,scraped/eastcoastevents.fi.txt,
eastfilm.fi,en,2530,True,scraped/eastfilm.fi.txt,english_only/eastfilm.fi.txt
eastoffice.fi,en,693,True,scraped/eastoffice.fi.txt,english_only/eastoffice.fi.txt
eastsec.fi,fi,2169,False,scraped/eastsec.fi.txt,
eastsound.fi,blocked,51,False,scraped/eastsound.fi.txt,
eaststudios.fi,en,697,True,scraped/eaststudios.fi.txt,english_only/eaststudios.fi.txt
easttalent.fi,fi,907,False,scraped/easttalent.fi.txt,
easy-conveyors.fi,fi,6649,False,scraped/easy-conveyors.fi.txt,
easy-host.fi,en,5856,True,scraped/easy-host.fi.txt,english_only/easy-host.fi.txt
easy-menu.io,en,144,True,scraped/easy-menu.io.txt,english_only/easy-menu.io.txt
easy.ac,en,47,True,scraped/easy.ac.txt,english_only/easy.ac.txt
easyaccess.fi,blocked,51,False,scraped/easyaccess.fi.txt,
easyaccounts.fi,fi,107,False,scraped/easyaccounts.fi.txt,
easyblast.fi,en,33,True,scraped/easyblast.fi.txt,english_only/easyblast.fi.txt
easyboatservice.fi,fi,335,False,scraped/easyboatservice.fi.txt,
easybook.fi,en,74,True,scraped/easybook.fi.txt,english_only/easybook.fi.txt
easydriver.fi,en,538,True,scraped/easydriver.fi.txt,english_only/easydriver.fi.txt
easyfit.fi,fi,2436,False,scraped/easyfit.fi.txt,
easyfloorplanner.com,en,126,True,scraped/easyfloorplanner.com.txt,english_only/easyfloorplanner.com.txt
easygarage247.fi,fi,8433,False,scraped/easygarage247.fi.txt,
easykirppis.fi,blocked,51,False,scraped/easykirppis.fi.txt,
easylash.fi,fi,423,False,scraped/easylash.fi.txt,
easyled.fi,fi,2755,False,scraped/easyled.fi.txt,
easylife.fi,blocked,51,False,scraped/easylife.fi.txt,
easylivin.fi,fi,1309,False,scraped/easylivin.fi.txt,
easyliving.fi,fi,1092,False,scraped/easyliving.fi.txt,
easymove.fi,fi,481,False,scraped/easymove.fi.txt,
easyone.fi,fi,332,False,scraped/easyone.fi.txt,
easyopp.fi,fi,5289,False,scraped/easyopp.fi.txt,
easyorder.fi,fi,2630,False,scraped/easyorder.fi.txt,
easypalju.com,fi,3677,False,scraped/easypalju.com.txt,
easypalvelut.fi,fi,983,False,scraped/easypalvelut.fi.txt,
easypark.fi,fi,6785,False,scraped/easypark.fi.txt,
easyswim.fi,en,197,True,scraped/easyswim.fi.txt,english_only/easyswim.fi.txt
easytravel.eu,en,33,True,scraped/easytravel.eu.txt,english_only/easytravel.eu.txt
easywash.fi,fi,1018,False,scraped/easywash.fi.txt,
easywhistle.com,en,9984,True,scraped/easywhistle.com.txt,english_only/easywhistle.com.txt
easyzone.fi,fi,1142,False,scraped/easyzone.fi.txt,
eatbest.fi,fi,1712,False,scraped/eatbest.fi.txt,
eatlappi.fi,fi,90,False,scraped/eatlappi.fi.txt,
eatplantsbyus.com,en,62,True,scraped/eatplantsbyus.com.txt,english_only/eatplantsbyus.com.txt
eatshootdrive.com,en,4962,True,scraped/eatshootdrive.com.txt,english_only/eatshootdrive.com.txt
eatwell.fi,fi,659,False,scraped/eatwell.fi.txt,
eautokoulu.fi,fi,3804,False,scraped/eautokoulu.fi.txt,
eav.fi,en,89,True,scraped/eav.fi.txt,english_only/eav.fi.txt
eazyem.com,en,74,True,scraped/eazyem.com.txt,english_only/eazyem.com.txt
ebaka.fi,fi,1378,False,scraped/ebaka.fi.txt,
ebax.fi,en,2713,True,scraped/ebax.fi.txt,english_only/ebax.fi.txt
ebbafastigheter.fi,en,1166,True,scraped/ebbafastigheter.fi.txt,english_only/ebbafastigheter.fi.txt
ebblo.com,en,2105,True,scraped/ebblo.com.txt,english_only/ebblo.com.txt
ebc.fi,fi,127,False,scraped/ebc.fi.txt,
ebeneserkyrkan.fi,en,133,True,scraped/ebeneserkyrkan.fi.txt,english_only/ebeneserkyrkan.fi.txt
ebesol.com,en,33,True,scraped/ebesol.com.txt,english_only/ebesol.com.txt
ebhair.fi,fi,158,False,scraped/ebhair.fi.txt,
ebikebrothers.fi,fi,7843,False,scraped/ebikebrothers.fi.txt,
ebikecenter.fi,fi,7225,False,scraped/ebikecenter.fi.txt,
ebikerental.fi,fi,753,False,scraped/ebikerental.fi.txt,
ebiketuning.fi,fi,2148,False,scraped/ebiketuning.fi.txt,
eblc.org,en,1223,True,scraped/eblc.org.txt,english_only/eblc.org.txt
ebm.fi,blocked,51,False,scraped/ebm.fi.txt,
ebmanagement.fi,en,120,True,scraped/ebmanagement.fi.txt,english_only/ebmanagement.fi.txt
ebsdigital.fi,fi,1415,False,scraped/ebsdigital.fi.txt,
ebsotech.com,en,371,True,scraped/ebsotech.com.txt,english_only/ebsotech.com.txt
ebsuomi.fi,pt,77,False,scraped/ebsuomi.fi.txt,
ecamconsulting.fi,fi,553,False,scraped/ecamconsulting.fi.txt,
eccanordic.com,en,1447,True,scraped/eccanordic.com.txt,english_only/eccanordic.com.txt
ecce-re.fi,en,302,True,scraped/ecce-re.fi.txt,english_only/ecce-re.fi.txt
eccoy.fi,fi,54533,False,scraped/eccoy.fi.txt,
echannels.fi,blocked,51,False,scraped/echannels.fi.txt,
ecity.fi,fi,1612,False,scraped/ecity.fi.txt,
eckerocamping.ax,sv,1271,False,scraped/eckerocamping.ax.txt,
eckerolink.com,sv,90,False,scraped/eckerolink.com.txt,
eco-filtering.com,blocked,51,False,scraped/eco-filtering.com.txt,
ecoair.fi,blocked,51,False,scraped/ecoair.fi.txt,
ecoautocare.fi,fi,1908,False,scraped/ecoautocare.fi.txt,
ecobeauty.fi,fi,638,False,scraped/ecobeauty.fi.txt,
ecobeautywellness.com,blocked,51,False,scraped/ecobeautywellness.com.txt,
ecochange.fi,fi,1332,False,scraped/ecochange.fi.txt,
ecococon.eu,en,2399,True,scraped/ecococon.eu.txt,english_only/ecococon.eu.txt
ecocom.fi,blocked,51,False,scraped/ecocom.fi.txt,
ecodecor.fi,fi,4451,False,scraped/ecodecor.fi.txt,
ecoeasy.fi,blocked,51,False,scraped/ecoeasy.fi.txt,
ecofer.fi,blocked,51,False,scraped/ecofer.fi.txt,
ecofurn.eu,blocked,51,False,scraped/ecofurn.eu.txt,
ecogai.fi,sv,309,False,scraped/ecogai.fi.txt,
ecogrouping.com,short,15,False,scraped/ecogrouping.com.txt,
ecolab.com,en,12445,True,scraped/ecolab.com.txt,english_only/ecolab.com.txt
ecolejulesverne.fi,fi,86386,False,scraped/ecolejulesverne.fi.txt,
ecolink.fi,fi,1144,False,scraped/ecolink.fi.txt,
ecoliving.global,en,61,True,scraped/ecoliving.global.txt,english_only/ecoliving.global.txt
ecolor.fi,fi,1405,False,scraped/ecolor.fi.txt,
ecolution.fi,en,105,True,scraped/ecolution.fi.txt,english_only/ecolution.fi.txt
ecom.fi,fi,4241,False,scraped/ecom.fi.txt,
ecom3d.io,fi,4905,False,scraped/ecom3d.io.txt,
ecomal.com,en,1520,True,scraped/ecomal.com.txt,english_only/ecomal.com.txt
ecomarine.fi,blocked,51,False,scraped/ecomarine.fi.txt,
ecomation.com,en,219,True,scraped/ecomation.com.txt,english_only/ecomation.com.txt
ecomedic.fi,fi,1608,False,scraped/ecomedic.fi.txt,
ecomet.fi,short,16,False,scraped/ecomet.fi.txt,
ecomonitor.fi,fi,1627,False,scraped/ecomonitor.fi.txt,
ecomurske.fi,fi,971,False,scraped/ecomurske.fi.txt,
econcer.com,blocked,51,False,scraped/econcer.com.txt,
econel.fi,fi,7374,False,scraped/econel.fi.txt,
econet.fi,blocked,51,False,scraped/econet.fi.txt,
econex.fi,en,371,True,scraped/econex.fi.txt,english_only/econex.fi.txt
econia.com,fi,189,False,scraped/econia.com.txt,
econocap.com,fi,917,False,scraped/econocap.com.txt,
econogreen.fi,blocked,51,False,scraped/econogreen.fi.txt,
economedia.fi,fi,818,False,scraped/economedia.fi.txt,
economer.fi,fi,3773,False,scraped/economer.fi.txt,
economiccapital.fi,fi,830,False,scraped/economiccapital.fi.txt,
economos.fi,fi,524,False,scraped/economos.fi.txt,
econoplan.fi,fi,2568,False,scraped/econoplan.fi.txt,
econosto.fi,fi,337,False,scraped/econosto.fi.txt,
ecopal.fi,blocked,51,False,scraped/ecopal.fi.txt,
ecoports.fi,blocked,51,False,scraped/ecoports.fi.txt,
ecoprint.info,blocked,51,False,scraped/ecoprint.info.txt,
ecopulp.fi,fi,2387,False,scraped/ecopulp.fi.txt,
ecorakennus.com,blocked,51,False,scraped/ecorakennus.com.txt,
ecoscandic.fi,fi,2671,False,scraped/ecoscandic.fi.txt,
ecoskin.fi,fi,3068,False,scraped/ecoskin.fi.txt,
ecosonic.fi,fi,2062,False,scraped/ecosonic.fi.txt,
ecospec.fi,blocked,51,False,scraped/ecospec.fi.txt,
ecotelematics.com,en,1611,True,scraped/ecotelematics.com.txt,english_only/ecotelematics.com.txt
ecotrucks.fi,fi,2344,False,scraped/ecotrucks.fi.txt,
ecount.fi,fi,258,False,scraped/ecount.fi.txt,
ecovis.fi,en,1419,True,scraped/ecovis.fi.txt,english_only/ecovis.fi.txt
ecowalt.com,fi,1798,False,scraped/ecowalt.com.txt,
ecowec.com,blocked,51,False,scraped/ecowec.com.txt,
ecoweedkiller.com,en,171,True,scraped/ecoweedkiller.com.txt,english_only/ecoweedkiller.com.txt
ecowise.fi,fi,1939,False,scraped/ecowise.fi.txt,
ecowolf.fi,fi,5737,False,scraped/ecowolf.fi.txt,
ecproducts.fi,fi,686,False,scraped/ecproducts.fi.txt,
ecredovisning.ax,sv,1167,False,scraped/ecredovisning.ax.txt,
ecs.codes,en,5706,True,scraped/ecs.codes.txt,english_only/ecs.codes.txt
ecsgroup.aero,en,503,True,scraped/ecsgroup.aero.txt,english_only/ecsgroup.aero.txt
ecstaticdance.fi,fi,2173,False,scraped/ecstaticdance.fi.txt,
ect.fi,fi,510,False,scraped/ect.fi.txt,
ecuras.fi,blocked,51,False,scraped/ecuras.fi.txt,
ecw.fi,en,3149,True,scraped/ecw.fi.txt,english_only/ecw.fi.txt
ecyc.fi,en,68,True,scraped/ecyc.fi.txt,english_only/ecyc.fi.txt
ed-mark.fi,fi,214,False,scraped/ed-mark.fi.txt,
ed.fi,fi,459,False,scraped/ed.fi.txt,
edafin.com,fi,52,False,scraped/edafin.com.txt,
edapco.fi,blocked,51,False,scraped/edapco.fi.txt,
edda-marketing.com,en,74,True,scraped/edda-marketing.com.txt,english_only/edda-marketing.com.txt
eddies.fi,en,2804,True,scraped/eddies.fi.txt,english_only/eddies.fi.txt
edeco.fi,fi,8461,False,scraped/edeco.fi.txt,
edelcity.com,en,1895,True,scraped/edelcity.com.txt,english_only/edelcity.com.txt
edella.fi,fi,3659,False,scraped/edella.fi.txt,
edenaccounts.com,en,1159,True,scraped/edenaccounts.com.txt,english_only/edenaccounts.com.txt
edenbillnas.fi,fi,3027,False,scraped/edenbillnas.fi.txt,
edendayspa.fi,fi,993,False,scraped/edendayspa.fi.txt,
edenred.fi,fi,327,False,scraped/edenred.fi.txt,
edentherapy.fi,sv,103,False,scraped/edentherapy.fi.txt,
edfix.fi,fi,1333,False,scraped/edfix.fi.txt,
edgeup.eu,en,182,True,scraped/edgeup.eu.txt,english_only/edgeup.eu.txt
ediag.fi,fi,585,False,scraped/ediag.fi.txt,
ediboard.com,sv,1058,False,scraped/ediboard.com.txt,
edibooking.com,sv,3808,False,scraped/edibooking.com.txt,
edicos.fi,fi,2791,False,scraped/edicos.fi.txt,
edidea.fi,fi,1653,False,scraped/edidea.fi.txt,
edipro.fi,blocked,51,False,scraped/edipro.fi.txt,
edis.fi,fi,3052,False,scraped/edis.fi.txt,
ediste.fi,fi,1047,False,scraped/ediste.fi.txt,
edistia.fi,fi,3739,False,scraped/edistia.fi.txt,
editaprima.fi,en,803,True,scraped/editaprima.fi.txt,english_only/editaprima.fi.txt
editbeauty.fi,fi,1219,False,scraped/editbeauty.fi.txt,
editedlimition.com,fi,5470,False,scraped/editedlimition.com.txt,
edium.fi,fi,1285,False,scraped/edium.fi.txt,
edix.fi,fi,174,False,scraped/edix.fi.txt,
edjo.fi,blocked,51,False,scraped/edjo.fi.txt,
edlyhelsinki.com,en,66,True,scraped/edlyhelsinki.com.txt,english_only/edlyhelsinki.com.txt
ednacon.fi,short,20,False,scraped/ednacon.fi.txt,
ednacraft.com,blocked,51,False,scraped/ednacraft.com.txt,
ednados.fi,short,20,False,scraped/ednados.fi.txt,
edntehopalvelut.fi,fi,4841,False,scraped/edntehopalvelut.fi.txt,
edoco.fi,fi,78,False,scraped/edoco.fi.txt,
edrmedeso.com,en,5778,True,scraped/edrmedeso.com.txt,english_only/edrmedeso.com.txt
edu1step.com,en,50,True,scraped/edu1step.com.txt,english_only/edu1step.com.txt
eduborealis.com,en,4715,True,scraped/eduborealis.com.txt,english_only/eduborealis.com.txt
edubuild.fi,fi,487,False,scraped/edubuild.fi.txt,
edubusters.net,fi,115,False,scraped/edubusters.net.txt,
educ.fi,fi,624,False,scraped/educ.fi.txt,
educatio.fi,blocked,51,False,scraped/educatio.fi.txt,
educationhousefinland.com,en,97,True,scraped/educationhousefinland.com.txt,english_only/educationhousefinland.com.txt
educlusterfinland.fi,en,564,True,scraped/educlusterfinland.fi.txt,english_only/educlusterfinland.fi.txt
educons.fi,fi,2770,False,scraped/educons.fi.txt,
edufix.fi,fi,9419,False,scraped/edufix.fi.txt,
eduix.fi,fi,4087,False,scraped/eduix.fi.txt,
edullisettoimitilat.fi,fi,186,False,scraped/edullisettoimitilat.fi.txt,
edulyzer.com,fi,2668,False,scraped/edulyzer.com.txt,
edumap.fi,fi,1893,False,scraped/edumap.fi.txt,
edumar.fi,blocked,51,False,scraped/edumar.fi.txt,
edunation.co,en,33,True,scraped/edunation.co.txt,english_only/edunation.co.txt
edunsahko.fi,fi,622,False,scraped/edunsahko.fi.txt,
eduro.fi,en,33,True,scraped/eduro.fi.txt,english_only/eduro.fi.txt
edusafe.fi,blocked,51,False,scraped/edusafe.fi.txt,
edusampo.fi,fi,1045,False,scraped/edusampo.fi.txt,
edusari.fi,blocked,51,False,scraped/edusari.fi.txt,
edusavo.fi,fi,2149,False,scraped/edusavo.fi.txt,
edusignaali.fi,fi,809,False,scraped/edusignaali.fi.txt,
edusta.fi,blocked,51,False,scraped/edusta.fi.txt,
edustava.fi,fi,357,False,scraped/edustava.fi.txt,
edusteps.fi,fi,1087,False,scraped/edusteps.fi.txt,
edustusajot.fi,fi,360,False,scraped/edustusajot.fi.txt,
edustusjoukkueoy.fi,fi,2012,False,scraped/edustusjoukkueoy.fi.txt,
edutaito.fi,fi,260,False,scraped/edutaito.fi.txt,
edutec.fi,fi,3112,False,scraped/edutec.fi.txt,
eduten.com,en,36,True,scraped/eduten.com.txt,english_only/eduten.com.txt
edutest.fi,fi,1465,False,scraped/edutest.fi.txt,
edutraining.fi,fi,2535,False,scraped/edutraining.fi.txt,
eduweb.fi,fi,368,False,scraped/eduweb.fi.txt,
eduzolve.com,en,1885,True,scraped/eduzolve.com.txt,english_only/eduzolve.com.txt
edwardsengineering.fi,fi,56,False,scraped/edwardsengineering.fi.txt,
edzcom.com,blocked,51,False,scraped/edzcom.com.txt,
eebu.com,fi,1962,False,scraped/eebu.com.txt,
eeddspeaks.fi,fi,363,False,scraped/eeddspeaks.fi.txt,
eee.do,en,8162,True,scraped/eee.do.txt,english_only/eee.do.txt
eekab.fi,blocked,51,False,scraped/eekab.fi.txt,
eekooexpress.fi,fi,249,False,scraped/eekooexpress.fi.txt,
eeks.fi,fi,4532,False,scraped/eeks.fi.txt,
eelis-saukkonen.com,fi,692,False,scraped/eelis-saukkonen.com.txt,
eeman.fi,blocked,51,False,scraped/eeman.fi.txt,
eeneman.com,en,712,True,scraped/eeneman.com.txt,english_only/eeneman.com.txt
eepee.fi,fi,224,False,scraped/eepee.fi.txt,
eepeenkonepalvelu.fi,fi,2723,False,scraped/eepeenkonepalvelu.fi.txt,
eeperi.com,fi,491,False,scraped/eeperi.com.txt,
eepoy.fi,fi,1280,False,scraped/eepoy.fi.txt,
eepro.fi,fi,6932,False,scraped/eepro.fi.txt,
eepsoft.fi,en,1066,True,scraped/eepsoft.fi.txt,english_only/eepsoft.fi.txt
eerika.com,fi,2240,False,scraped/eerika.com.txt,
eerikinpippuri.fi,fi,206,False,scraped/eerikinpippuri.fi.txt,
eerikkalagolf.fi,fi,995,False,scraped/eerikkalagolf.fi.txt,
eerikkila.fi,fi,769,False,scraped/eerikkila.fi.txt,
eeroalho.com,en,214,True,scraped/eeroalho.com.txt,english_only/eeroalho.com.txt
eerohartikainen.net,fi,114,False,scraped/eerohartikainen.net.txt,
eeroikarinen.com,en,338,True,scraped/eeroikarinen.com.txt,english_only/eeroikarinen.com.txt
eerokokkonen.fi,fi,694,False,scraped/eerokokkonen.fi.txt,
eerola.fi,fi,1465,False,scraped/eerola.fi.txt,
eerolanrahti.fi,fi,7375,False,scraped/eerolanrahti.fi.txt,
eerolasupplies.fi,short,19,False,scraped/eerolasupplies.fi.txt,
eerolatrucks.fi,fi,674,False,scraped/eerolatrucks.fi.txt,
eerolayhtiot.fi,fi,3942,False,scraped/eerolayhtiot.fi.txt,
eerolehtimaki.com,en,2286,True,scraped/eerolehtimaki.com.txt,english_only/eerolehtimaki.com.txt
eeroplan.fi,blocked,51,False,scraped/eeroplan.fi.txt,
eerosaunamaki.fi,fi,1672,False,scraped/eerosaunamaki.fi.txt,
eerosjogren.fi,fi,574,False,scraped/eerosjogren.fi.txt,
eerservice.fi,fi,668,False,scraped/eerservice.fi.txt,
eertech.fi,blocked,51,False,scraped/eertech.fi.txt,
eescenter.fi,fi,1957,False,scraped/eescenter.fi.txt,
eestinelintarvikkeet.fi,fi,596,False,scraped/eestinelintarvikkeet.fi.txt,
eestinextrat.fi,blocked,51,False,scraped/eestinextrat.fi.txt,
eetems.com,blocked,51,False,scraped/eetems.com.txt,
eetj.fi,de,29,False,scraped/eetj.fi.txt,
eettinenluksus.fi,fi,1442,False,scraped/eettinenluksus.fi.txt,
eev.fi,fi,3231,False,scraped/eev.fi.txt,
eevahiltunen.fi,blocked,51,False,scraped/eevahiltunen.fi.txt,
eevakeittiot.fi,fi,109,False,scraped/eevakeittiot.fi.txt,
eevamakinen.com,en,1461,True,scraped/eevamakinen.com.txt,english_only/eevamakinen.com.txt
eevamela.com,fi,276,False,scraped/eevamela.com.txt,
eeviahealth.com,en,4177,True,scraped/eeviahealth.com.txt,english_only/eeviahealth.com.txt
eevian.fi,fi,242,False,scraped/eevian.fi.txt,
eevisdesign.com,fi,2380,False,scraped/eevisdesign.com.txt,
eezery.com,fi,1782,False,scraped/eezery.com.txt,
eezy.fi,fi,1370,False,scraped/eezy.fi.txt,
eezybeezy.fi,fi,758,False,scraped/eezybeezy.fi.txt,
eezypersonnel.fi,fi,3323,False,scraped/eezypersonnel.fi.txt,
ef.com,nl,81,False,scraped/ef.com.txt,
eface.fi,fi,1305,False,scraped/eface.fi.txt,
efat.fi,fi,9528,False,scraped/efat.fi.txt,
